instance,config,seed,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_025_1,DEFAULT,0,98348,1800.0107448101044,1316.0,0.339,17
scqbf_025_2,DEFAULT,0,121670,1800.0055077075958,1279.0,0.111,7
scqbf_050_1,DEFAULT,0,38737,1800.0003325939178,5257.0,1.132,27
scqbf_050_2,DEFAULT,0,48009,1800.0224542617798,5161.0,0.881,17
scqbf_100_1,DEFAULT,0,13605,1800.0489971637726,16665.0,72.623,541
scqbf_100_2,DEFAULT,0,13683,1800.0570709705353,20383.0,6.862,51
scqbf_200_1,DEFAULT,0,3683,1800.4133908748627,48647.0,1142.203,2334
scqbf_200_2,DEFAULT,0,3560,1800.1262290477753,80463.0,31.238,61
scqbf_400_1,DEFAULT,0,883,1800.8334641456604,124153.0,1609.725,788
scqbf_400_2,DEFAULT,0,921,1801.0287826061249,282529.0,1544.266,789
