instance,config,seed,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_100_1,BEST_PROBABILISTIC,0,1,0.08025002479553223,16118.0,0.020869016647338867,1
scqbf_200_1,BEST_PROBABILISTIC,0,1,0.40778064727783203,46992.0,0.12705421447753906,1
scqbf_400_1,BEST_PROBABILISTIC,0,1,2.2342286109924316,132549.0,0.6355745792388916,1
scqbf_100_1,BEST_PROBABILISTIC,1,1,0.07787966728210449,16118.0,0.017747163772583008,1
scqbf_200_1,BEST_PROBABILISTIC,1,1,0.3194091320037842,46992.0,0.10390233993530273,1
scqbf_400_1,BEST_PROBABILISTIC,1,1,2.0760140419006348,133064.0,0.6733841896057129,1
scqbf_100_1,BEST_PROBABILISTIC,2,1,0.07154011726379395,16103.0,0.017887353897094727,1
scqbf_200_1,BEST_PROBABILISTIC,2,1,0.31606411933898926,46962.0,0.10090494155883789,1
scqbf_400_1,BEST_PROBABILISTIC,2,1,2.0300583839416504,131393.0,0.6359317302703857,1
scqbf_100_1,BEST_PROBABILISTIC,3,1,0.07342982292175293,16103.0,0.017746686935424805,1
scqbf_200_1,BEST_PROBABILISTIC,3,1,0.31972789764404297,46962.0,0.10167479515075684,1
scqbf_400_1,BEST_PROBABILISTIC,3,1,2.035653829574585,133064.0,0.6564531326293945,1
scqbf_100_1,BEST_PROBABILISTIC,4,1,0.06941342353820801,16118.0,0.01814126968383789,1
scqbf_200_1,BEST_PROBABILISTIC,4,1,0.3142678737640381,46992.0,0.1005713939666748,1
scqbf_400_1,BEST_PROBABILISTIC,4,1,2.046762228012085,133064.0,0.6347615718841553,1
scqbf_100_1,BEST_PROBABILISTIC,5,1,0.06645607948303223,16118.0,0.01751112937927246,1
scqbf_200_1,BEST_PROBABILISTIC,5,1,0.3171544075012207,46992.0,0.1012115478515625,1
scqbf_400_1,BEST_PROBABILISTIC,5,1,1.9051666259765625,131558.0,0.6289961338043213,1
scqbf_100_1,BEST_PROBABILISTIC,6,1,0.06810450553894043,16118.0,0.017850637435913086,1
scqbf_200_1,BEST_PROBABILISTIC,6,1,0.3222663402557373,46992.0,0.10387277603149414,1
scqbf_400_1,BEST_PROBABILISTIC,6,1,1.9377386569976807,136237.0,0.6325092315673828,1
scqbf_100_1,BEST_PROBABILISTIC,7,1,0.07088279724121094,16103.0,0.018137454986572266,1
scqbf_200_1,BEST_PROBABILISTIC,7,1,0.32755494117736816,46992.0,0.10818815231323242,1
