instance,config,seed,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_025_1,BEST_PROBABILISTIC,0,1,0.0026760101318359375,859.0,0.0005218982696533203,1
scqbf_025_1,BEST_PROBABILISTIC,1,1,0.002704620361328125,859.0,0.00039958953857421875,1
scqbf_025_1,BEST_PROBABILISTIC,2,1,0.0019845962524414062,859.0,0.0003788471221923828,1
scqbf_025_1,BEST_PROBABILISTIC,3,1,0.002573728561401367,775.0,0.00044655799865722656,1
scqbf_025_1,BEST_PROBABILISTIC,4,1,0.002019643783569336,859.0,0.00043487548828125,1
scqbf_025_1,BEST_PROBABILISTIC,5,1,0.001978635787963867,785.0,0.00043129920959472656,1
scqbf_025_1,BEST_PROBABILISTIC,6,1,0.0034155845642089844,859.0,0.00041937828063964844,1
scqbf_025_1,BEST_PROBABILISTIC,7,1,0.0019071102142333984,785.0,0.0003962516784667969,1
scqbf_025_1,BEST_PROBABILISTIC,8,1,0.002001523971557617,785.0,0.00039076805114746094,1
scqbf_025_1,BEST_PROBABILISTIC,9,1,0.002006053924560547,859.0,0.0003764629364013672,1
scqbf_025_1,BEST_PROBABILISTIC,10,1,0.0019288063049316406,859.0,0.0003707408905029297,1
scqbf_025_1,BEST_PROBABILISTIC,11,1,0.002292633056640625,859.0,0.00043463706970214844,1
scqbf_025_1,BEST_PROBABILISTIC,12,1,0.0027701854705810547,859.0,0.00046062469482421875,1
scqbf_025_1,BEST_PROBABILISTIC,13,1,0.002066373825073242,859.0,0.0004050731658935547,1
scqbf_025_1,BEST_PROBABILISTIC,14,1,0.0019125938415527344,859.0,0.00038886070251464844,1
scqbf_025_1,BEST_PROBABILISTIC,15,1,0.0020563602447509766,859.0,0.00043463706970214844,1
scqbf_025_1,BEST_PROBABILISTIC,16,1,0.0018765926361083984,785.0,0.0003960132598876953,1
scqbf_025_1,BEST_PROBABILISTIC,17,1,0.0019524097442626953,859.0,0.0003883838653564453,1
scqbf_025_1,BEST_PROBABILISTIC,18,1,0.0021352767944335938,785.0,0.0004506111145019531,1
scqbf_025_1,BEST_PROBABILISTIC,19,1,0.0027959346771240234,785.0,0.0004169940948486328,1
scqbf_025_1,BEST_PROBABILISTIC,20,1,0.001955270767211914,859.0,0.0004189014434814453,1
scqbf_025_1,BEST_PROBABILISTIC,21,1,0.0019497871398925781,785.0,0.0004303455352783203,1
scqbf_025_1,BEST_PROBABILISTIC,22,1,0.0019342899322509766,785.0,0.00040793418884277344,1
scqbf_025_1,BEST_PROBABILISTIC,23,1,0.00188446044921875,859.0,0.0003821849822998047,1
scqbf_025_1,BEST_PROBABILISTIC,24,1,0.001890420913696289,859.0,0.0004100799560546875,1
scqbf_025_1,BEST_PROBABILISTIC,25,1,0.0021409988403320312,785.0,0.0004467964172363281,1
scqbf_025_1,BEST_PROBABILISTIC,26,1,0.002950429916381836,859.0,0.0013384819030761719,1
scqbf_025_1,BEST_PROBABILISTIC,27,1,0.0020322799682617188,785.0,0.000415802001953125,1
scqbf_025_1,BEST_PROBABILISTIC,28,1,0.002048492431640625,785.0,0.0003952980041503906,1
scqbf_025_1,BEST_PROBABILISTIC,29,1,0.0020198822021484375,859.0,0.0004200935363769531,1
scqbf_025_1,BEST_PROBABILISTIC,30,1,0.0020465850830078125,859.0,0.0004296302795410156,1
scqbf_025_1,BEST_PROBABILISTIC,31,1,0.0018837451934814453,859.0,0.0003902912139892578,1
scqbf_025_1,BEST_PROBABILISTIC,32,1,0.0019812583923339844,859.0,0.00041794776916503906,1
scqbf_025_1,BEST_PROBABILISTIC,33,1,0.0024175643920898438,859.0,0.0007708072662353516,1
scqbf_025_1,BEST_PROBABILISTIC,34,1,0.001981973648071289,859.0,0.0004050731658935547,1
scqbf_025_1,BEST_PROBABILISTIC,35,1,0.0021855831146240234,859.0,0.0004298686981201172,1
scqbf_025_1,BEST_PROBABILISTIC,36,1,0.0020117759704589844,785.0,0.00043511390686035156,1
scqbf_025_1,BEST_PROBABILISTIC,37,1,0.0019898414611816406,859.0,0.00042819976806640625,1
scqbf_025_1,BEST_PROBABILISTIC,38,1,0.0019221305847167969,859.0,0.00043201446533203125,1
scqbf_025_1,BEST_PROBABILISTIC,39,1,0.0020644664764404297,859.0,0.0004532337188720703,1
scqbf_025_1,BEST_PROBABILISTIC,40,1,0.0018913745880126953,785.0,0.000408172607421875,1
scqbf_025_1,BEST_PROBABILISTIC,41,1,0.0019459724426269531,859.0,0.0004191398620605469,1
scqbf_025_1,BEST_PROBABILISTIC,42,1,0.0020101070404052734,785.0,0.00040340423583984375,1
scqbf_025_1,BEST_PROBABILISTIC,43,1,0.0020034313201904297,859.0,0.0004341602325439453,1
scqbf_025_1,BEST_PROBABILISTIC,44,1,0.001947641372680664,859.0,0.0003859996795654297,1
scqbf_025_1,BEST_PROBABILISTIC,45,1,0.0021588802337646484,859.0,0.0005772113800048828,1
scqbf_025_1,BEST_PROBABILISTIC,46,1,0.0019125938415527344,859.0,0.0003802776336669922,1
scqbf_025_1,BEST_PROBABILISTIC,47,1,0.00191497802734375,859.0,0.0004248619079589844,1
scqbf_025_1,BEST_PROBABILISTIC,48,1,0.0019268989562988281,859.0,0.0004177093505859375,1
scqbf_025_1,BEST_PROBABILISTIC,49,1,0.0020105838775634766,859.0,0.0004634857177734375,1
